OPPORTUNITY_ID,STAGE_NAME,LOST_REASON_C,CLOSED_LOST_NOTES_C,BUSINESS_ISSUE_C,HOW_DID_YOU_HEAR_ABOUT_US_C,CREATED_DATE,DEMO_HELD,DEMO_SET_DATE,DEMO_TIME,CLOSE_DATE,LAST_SALES_CALL_DATE_TIME,ACCOUNT_ID
006UV000003mvyMYAQ,Closed Lost,Lack of Urgency,Just started doing their own delivery - has no access to 3p's and wants to figure out delivery on their own with their own drivers before trying us out. Reach back out in the spring.,Trying to crack the best way of doing OLO for the very first time in 60 years. Doesn't have access to 3p's at the moment so had to hire their own drivers.,,2024-02-05 19:49:27.000,true,0024-02-05,2024-02-05 18:00:00.000,0024-02-12,2024-02-12 19:42:26.000,001UV000004KJLzYAO
006UV000003tPvJYAU,Closed Won,,,"Is using a plethora of platforms (Pop menu by pushing to Toast OLO AND all 3p's linked out) in order to offer OLO but still giving away about 80k to 3p's /year with their 30% commission split. Getting a lot of to-go orders by phone which is not very efficient when thinking about how his staff's time is used. Tried ChowNow but was causing a lot of issues and he did not like their staff. Wants to increase sales by 10% this year, need a way to push customers to order directly from them. Not showing up on the Google searches.",Media Outlet,2024-02-07 19:56:15.000,true,0024-02-07,2024-02-08 19:00:00.000,0024-02-08,2024-02-06 18:15:15.000,001UV000004Sh9OYAS
006UV000009cgqgYAA,Closed Lost,POS Integration,#toastotter,,,2024-07-09 21:00:41.000,true,0024-07-09,,0024-07-10,2024-07-09 21:38:45.000,001UV00000CTQg9YAH
006UV000009ccruYAA,Demo Set,,,,,2024-07-09 20:13:27.000,false,0024-07-10,2024-07-23 18:00:00.000,0024-07-19,2024-06-11 18:33:41.000,001UV00000CSvKmYAL
006UV000009bkmfYAA,Closed Lost,No Demo Held,spothopper contract till march. f/u in feb,,,2024-07-09 15:30:25.000,false,0024-07-09,2024-07-09 18:45:00.000,0024-07-09,2024-07-09 17:49:29.000,001UV00000CRzAGYA1
006UV000008Ii7dYAC,Closed Lost,No Demo Held,,,,2024-05-31 03:20:56.000,false,,,0024-06-14,2024-05-31 20:17:01.000,001UV00000AVwhtYAD
006UV000006fjovYAA,Closed Lost,Missing Features,no social media integration. pop menu helps post on insta and FB and schedules it and does OLO on domain.,,,2024-04-22 20:27:51.000,true,,2024-04-24 19:00:00.000,0024-04-25,2024-04-22 20:24:40.000,001UV000008Ibz4YAC
006UV000005uKpCYAU,Closed Won,,,"bought the biz 9 months ago, wants to stat to increase direct olo, currently using slice on a crappy site. hired a local guy and he gave him a price, turns out the price was just the upfront cost and doesnt include the hourly moving forward for building the rest of the site (lol wut?) causing him to lose all trust and seek professional assistance",Facebook/IG,2024-03-30 16:06:31.000,true,0024-03-30,2024-03-30 16:15:00.000,0024-03-30,2024-03-30 16:06:02.000,001UV000007BCgAYAW
006UV0000098ycxYAA,Closed Lost,Lost to Competitor,loved everything we do but integration with toast was a no go #toastotter,,,2024-06-25 12:41:25.000,true,0024-06-25,2024-06-25 13:15:00.000,0024-07-03,2024-07-03 13:57:14.000,001UV00000BkdBJYAZ
006UV000007SxIrYAK,Closed Lost,No Demo Held,,,,2024-05-14 19:38:14.000,false,0024-05-14,2024-05-14 19:45:00.000,0024-05-17,2024-05-14 19:37:50.000,001UV000009Qm3qYAC
006UV000007TD2gYAG,Closed Lost,Bad Fit,fine dining,,,2024-05-14 21:31:30.000,false,,2024-05-15 16:00:00.000,0024-05-17,2024-05-14 21:27:11.000,001UV000009RD2UYAW
006UV000007ClNKYA0,Closed Lost,Bad Fit,fine dining,,,2024-05-07 16:57:16.000,false,0024-05-07,2024-05-07 17:00:00.000,0024-05-17,2024-05-07 20:15:53.000,001UV0000093e3mYAA
006UV000007SQ1zYAG,Closed Lost,Lack of Urgency,,,,2024-05-14 17:38:36.000,true,,2024-05-14 18:00:00.000,0024-05-24,2024-05-24 16:28:15.000,001UV000009Q66EYAS
006UV000007QX5xYAG,Closed Lost,Lack of Urgency,"no clear next steps agreed upon, not sole owners, and were rude during demo",,,2024-05-13 21:03:14.000,true,0024-05-13,2024-05-23 22:00:00.000,0024-05-23,2024-05-13 20:34:50.000,001UV000009NNbSYAW
006UV000007XjaDYAS,Closed Lost,No Decision / Non-Responsive,,,,2024-05-16 16:58:56.000,true,0024-05-16,2024-05-17 15:00:00.000,0024-05-27,2024-05-22 16:30:59.000,001UV000009XaZ0YAK
006UV000003VRi9YAG,Closed Lost,No Demo Held,,,,2024-01-30 18:42:41.000,false,0024-01-30,2024-01-30 21:30:00.000,0024-02-13,2024-01-30 21:30:31.000,001UV000003zrgnYAA
006UV000003W9hZYAS,Closed Lost,No Demo Held,,,,2024-01-30 22:03:34.000,false,0024-01-30,2024-01-30 22:45:00.000,0024-02-14,2024-01-31 16:38:23.000,001UV0000040YIqYAM
006UV000003n2VBYAY,Closed Lost,Price,refused to pay $500/month. thought it was free. not happy when he discovered the cost,,,2024-02-05 19:43:28.000,true,0024-02-05,2024-02-06 17:00:00.000,0024-02-06,2024-02-06 17:07:14.000,001UV000004KPchYAG
006UV000002rvF8YAI,Closed Lost,Lost to Competitor,"in a contract with spothopper until august, demo didnt last long",,,2024-01-15 20:09:58.000,true,0024-01-15,2024-01-15 20:00:00.000,0024-01-15,2023-11-13 16:45:07.000,001UV000003Da5aYAC
006UV000007Y0OAYA0,Closed Lost,POS Integration,#toastotter,,,2024-05-16 18:51:06.000,true,,2024-05-23 18:30:00.000,0024-06-04,2024-06-05 15:26:25.000,001UV000009Y17nYAC
006UV000008HQzBYAW,Closed Lost,Not a Decision Maker,,,,2024-05-30 16:40:52.000,false,,2024-05-31 00:00:00.000,0024-06-28,2024-05-31 00:11:29.000,001UV00000AUFLdYAP
006UV000009cztJYAQ,Interest,,,,,2024-07-09 23:17:25.000,false,,2024-07-12 16:00:00.000,0024-07-19,2024-07-09 23:18:08.000,001UV00000CTpg9YAD
006UV000009aJtNYAU,Interest,,,,,2024-07-08 21:54:08.000,false,,2024-07-09 20:15:00.000,0024-07-18,2024-07-09 20:19:15.000,001UV00000CPoHIYA1
006UV000007DoarYAC,Closed Lost,No Demo Held,,,,2024-05-07 23:08:16.000,false,0024-05-07,2024-05-08 23:00:00.000,0024-05-09,2024-05-08 20:33:20.000,001UV0000094zJCYAY
006UV000003m3jRYAQ,Closed Lost,No Demo Held,,,,2024-02-05 14:59:27.000,false,0024-02-05,2024-02-08 20:00:00.000,0024-02-09,2024-02-08 20:52:55.000,001UV000004IrjXYAS
006UV000006h8LRYAY,Closed Lost,No Demo Held,,,,2024-04-23 14:36:11.000,false,,2024-04-24 19:00:00.000,0024-05-08,2024-04-24 21:19:35.000,001UV000008KxddYAC
006UV000006iIFVYA2,Closed Lost,No Demo Held,,,,2024-04-23 20:55:14.000,false,0024-04-23,2024-04-29 22:00:00.000,0024-05-13,2024-04-23 20:51:30.000,001UV000008MabJYAS
006UV000003mB2fYAE,Closed Lost,Price,,,,2024-02-05 15:34:34.000,true,,2024-02-05 15:30:00.000,0024-02-12,2024-02-06 15:34:39.000,001UV000004JLEXYA4
006UV000003zNQzYAM,Closed Lost,No Decision / Non-Responsive,"language barrier on demo, was busy the whole time and has her husband as partner. Called restaurant for follow up and she hung up the phone",,,2024-02-09 18:02:31.000,true,,2022-03-08 17:30:00.000,0024-02-12,2024-02-12 20:52:13.000,001UV000004a8G5YAI
006UV000004gWijYAE,Closed Lost,Not a Decision Maker,was not the true DM and his partners said no without giving me a chance to pitch,,,2024-02-27 20:27:07.000,true,,2024-02-27 20:30:00.000,0024-02-29,2024-02-27 20:26:17.000,001UV000005UJaJYAW
006UV000005b033YAA,Closed Lost,POS Integration,has toast set to start on Monday. using there website and will not have fragmented loyatly.,,,2024-03-21 17:27:21.000,true,0024-03-21,2024-03-21 19:30:00.000,0024-03-21,2024-03-21 17:25:30.000,001UV000006jzqLYAQ
006UV000006hbQfYAI,Closed Lost,Bad Fit,,,,2024-04-23 17:07:12.000,true,0024-04-23,2024-04-23 17:00:00.000,0024-04-25,2024-04-20 15:48:22.000,001UV000008LcvJYAS
006UV000007Dbc1YAC,Closed Lost,No Demo Held,,,,2024-05-07 21:05:14.000,true,0024-05-07,2024-05-07 21:00:00.000,0024-05-08,2024-05-07 19:01:38.000,001UV0000094aixYAA
006UV000006twO7YAI,Closed Lost,Bad Fit,"Was booked with a DM that owned a restaurant different from the one associated with their SL and SF info.
The restaurant the DM actually owned was below 1500 GMV",,,2024-04-29 16:37:33.000,false,0024-04-29,2024-05-01 01:15:00.000,0024-04-29,2024-04-29 18:26:21.000,001UV000008dJhNYAU
006UV000008PpFeYAK,Closed Lost,Lack of Urgency,"emailed back saying ""he had enough info"" and cancelled follow up. We had not yet discussed pricing on the demo because he had to run to tend to a catering customer",,,2024-06-03 22:23:07.000,true,0024-06-03,2024-06-05 17:00:00.000,0024-06-06,2024-06-12 16:53:12.000,001UV00000Agw6gYAB
006UV000006RGd7YAG,Closed Lost,No Demo Held,"Cancelled ahead of time, says he thought it over and wants a demo in a couple of months",,,2024-04-15 23:52:21.000,false,0024-04-15,2024-04-16 16:30:00.000,0024-04-16,2024-04-16 16:04:19.000,001UV000007xltRYAQ
006UV0000067RjCYAU,Closed Lost,Bad Fit,,,,2024-04-05 20:11:07.000,true,0024-04-05,2024-04-05 20:00:00.000,0024-04-17,2024-04-18 19:08:37.000,001UV000007UZ4OYAW
006UV000009cY6jYAE,Demo Set,,,,,2024-07-09 19:46:49.000,false,0024-07-09,,0024-07-19,2024-07-10 19:32:40.000,001UV00000CT0toYAD
006UV000005h5hVYAQ,Closed Lost,Price,sends 1 text a week with current company. to do the same with us would be a massive cost. he doesn't want to lose it as it drives a lot of sales,,,2024-03-24 15:35:17.000,true,0024-03-24,2024-03-25 21:00:00.000,0024-03-25,2021-07-28 20:24:08.000,001UV000006rxmTYAQ
006UV000005boasYAA,Closed Lost,No Demo Held,,,,2024-03-21 21:27:19.000,false,0024-03-21,2024-03-21 21:30:00.000,0024-03-26,2024-03-21 21:22:32.000,001UV000006l6OHYAY
006UV0000037kqoYAA,Closed Won,,,Needs a more optimized online presence. Needs more consistent visibility on google for different searches. Needs to increase direct sales and save on commission fees. Excited about our marketing and mobile app!,Facebook/IG,2024-01-22 16:35:43.000,true,,2024-01-22 17:00:00.000,0024-01-22,2024-01-22 16:34:20.000,001UV000003WveBYAS
006UV0000097nBhYAI,Closed Lost,Price,,,,2024-06-24 19:40:21.000,true,0024-06-24,2024-06-24 19:30:00.000,0024-06-28,2024-06-28 19:09:26.000,001UV00000BifdpYAB
006UV000008ztW1YAI,On Hold,,,,,2024-06-20 16:07:24.000,true,0024-06-20,2024-06-21 15:00:00.000,0024-08-09,2024-07-02 22:50:35.000,001UV00000BWqI5YAL
006UV000009XfNOYA0,In Progress,,,,,2024-07-07 17:03:13.000,true,,2024-07-07 18:00:00.000,0024-07-15,2024-07-07 19:00:57.000,001UV00000CM5bdYAD
006UV000007SzhFYAS,Closed Lost,No Decision / Non-Responsive,,,,2024-05-14 19:49:57.000,false,0024-05-14,2024-05-15 04:00:00.000,0024-05-30,2024-05-16 14:47:47.000,001UV000009Qv3tYAC
006UV000007Rx81YAC,Closed Lost,No Decision / Non-Responsive,texting me saying to cancel the FU as he is not interested any longer,,,2024-05-14 14:25:51.000,true,0024-05-14,2024-05-28 19:00:00.000,0024-05-27,2024-05-16 17:22:27.000,001UV000009PP7kYAG
006UV000007SBFpYAO,Closed Lost,POS Integration,#toastotter,,,2024-05-14 15:32:49.000,true,0024-05-14,2024-05-14 15:30:00.000,0024-05-27,2024-06-20 18:14:49.000,001UV000009Pk5hYAC
006UV000008WzbhYAC,Closed Lost,Bad Fit,Legacy customer with new locations that do not qualify,,,2024-06-06 18:16:39.000,false,,2024-06-06 19:00:00.000,0024-06-25,2024-06-06 19:02:01.000,0014x00000NSOccAAH
006UV000006iZRdYAM,Closed Lost,Price,,,,2024-04-23 23:43:03.000,false,0024-04-23,2024-04-24 18:00:00.000,0024-04-29,2024-04-24 18:10:26.000,001UV000008N0igYAC
006UV000005m2XjYAI,Closed Lost,No Demo Held,,,,2024-03-26 19:03:10.000,false,0024-03-26,2024-03-26 19:30:00.000,0024-04-01,2024-03-26 18:42:38.000,001UV000006ylwiYAA
006UV000004dzvmYAA,Closed Lost,No Demo Held,,,,2024-02-26 22:44:12.000,false,,,0024-03-11,2024-02-14 21:37:48.000,001UV000005RLf1YAG
006UV000007QMnFYAW,Closed Lost,Other,,,,2024-05-13 20:05:20.000,false,0024-05-13,2024-05-15 20:00:00.000,0024-05-14,2024-05-14 16:31:25.000,001UV000009N4c2YAC
006UV0000037isDYAQ,Closed Lost,No Demo Held,,,,2024-01-22 15:42:50.000,false,0024-01-22,2024-01-22 19:00:00.000,0024-01-22,2024-01-22 19:21:53.000,001UV000003WsoLYAS
006UV000007QLxdYAG,Closed Lost,No Demo Held,,,,2024-05-13 20:00:57.000,false,0024-05-13,2024-05-14 14:00:00.000,0024-06-06,2024-05-23 18:27:30.000,001UV000009N8PXYA0
006UV000009czN3YAI,Demo Set,,,,,2024-07-09 23:10:03.000,false,0024-07-10,2024-07-10 14:00:00.000,0024-07-19,2024-07-09 23:19:02.000,001UV00000CToiTYAT
006UV000008ChKjYAK,Closed Lost,Price,"thought we were a marketplace, is very satisfied with website, 0 interest in changing it and 0 interest in charging 5%",,,2024-05-28 19:11:33.000,true,,2024-05-28 19:00:00.000,0024-05-28,2024-05-28 18:56:34.000,001UV00000A6sO9YAJ
006UV000009bkbOYAQ,Closed Lost,No Demo Held,,,,2024-07-09 15:31:16.000,false,0024-07-09,2024-07-10 13:30:00.000,0024-07-10,2024-07-10 13:34:00.000,001UV00000CS2ZUYA1
006UV000008WtCrYAK,Closed Lost,POS Integration,"already has SEO, text,email marketing, loyatly and spending less then 150/month. has tried chownow mobile app and did not work.",,,2024-06-06 16:48:19.000,true,0024-06-06,2024-06-06 16:45:00.000,0024-06-06,2024-06-06 16:53:06.000,001UV00000AqnEzYAJ
006UV000008Ug0RYAS,Closed Lost,Not a Decision Maker,"met with manager. he looked at over 20 companies and owner decided to go with someone else, pretty much came down to price",,,2024-06-05 19:19:43.000,true,0024-06-05,2024-06-06 17:00:00.000,0024-06-12,2024-06-12 20:08:44.000,001UV00000AniLWYAZ
006UV000009Z6WqYAK,Demo Set,,,,,2024-07-08 15:49:47.000,false,0024-07-08,2024-07-09 15:00:00.000,0024-07-18,2024-07-09 15:03:08.000,001UV00000COA2aYAH
006UV000009cRlBYAU,Interest,,,,,2024-07-09 19:14:48.000,false,,2024-07-10 19:00:00.000,0024-07-19,2024-07-10 18:47:59.000,001UV00000CSyqLYAT
006UV000009f7I5YAI,Demo Set,,,,Cold call,2024-07-10 19:49:45.000,false,0024-07-10,2024-07-18 14:00:00.000,0024-08-01,2024-07-10 19:44:28.000,001UV00000CWuMjYAL
006UV000009cEhXYAU,Interest,,,,,2024-07-09 18:50:59.000,false,,,0024-07-19,2023-06-12 20:38:37.000,001UV00000CSboyYAD
006UV000008HB0rYAG,Closed Lost,No Demo Held,,,,2024-05-30 15:07:30.000,false,0024-05-30,2024-05-31 15:45:00.000,0024-06-14,2024-05-31 15:37:14.000,001UV00000ATY8NYAX
006UV000008UoUEYA0,Closed Lost,Lost to Competitor,"status quo is zaytech , they provide seo, olo, app, sms/email marketing, review responses, social media all under 1 umbrella and for only $1/order to the customer",,,2024-06-05 20:27:21.000,true,0024-06-05,2024-06-06 15:00:00.000,0024-06-06,2024-06-06 15:38:04.000,001UV00000Anv2cYAB
006UV000009a6zNYAQ,In Progress,,,,,2024-07-08 20:33:54.000,true,0024-07-08,2024-07-08 20:45:00.000,0024-07-18,2024-07-08 20:36:00.000,001UV00000CPXuwYAH
006UV000009ejnfYAA,Demo Set,,,,,2024-07-10 18:37:50.000,false,0024-07-10,2024-07-10 19:00:00.000,0024-07-20,2024-07-09 18:00:08.000,001UV00000CWMxtYAH
006UV000007mcwcYAA,Closed Won,,,"Using Square for OLO now and web traffic is atrocious. Really needs help with SEO as well. Really excited to get started with us ASAP! He tried 3Ps before but didn't like paying 30%, and now he can do delivery again with us.",Facebook/IG,2024-05-23 14:03:54.000,true,0024-05-23,2024-05-23 14:00:00.000,0024-05-23,2024-05-23 14:12:43.000,001UV000009rovzYAA
006UV000008Q63ZYAS,Closed Won,,,"Using clover for pick up and linking to DD for delivery. 5k on clover. 3p's is 12-15k.
Loved the website and app, see owner as a great fit",Cold call,2024-06-04 00:04:40.000,true,,2024-06-05 21:00:00.000,0024-06-05,2024-06-03 23:42:39.000,001UV00000AhFPRYA3
006UV000009ZgNOYA0,Closed Won,,,"No website since opening 2 years ago, on with 3ps for 30-33%; no olo; paying out around 32k annually, no app, not appearing in search results",Google,2024-07-08 18:12:25.000,true,0024-07-08,2024-07-08 18:00:00.000,0024-07-09,2024-07-08 23:18:12.000,001UV00000COxssYAD
